,entry_count,positive_count,negative_count,correctly_guessed,positive_guess_count,negative_guess_count
Q5U651,89,19,70,53,55,34
Q5VWZ2,20,1,19,11,10,10
Q695T7,51,0,51,35,16,35
Q6B9Z1,8,0,8,6,2,6
Q6GPH6,35,1,34,20,16,19
Q6H8Q1,86,19,67,44,55,31
Q6L8H2,57,0,57,40,17,40
Q6P988,36,0,36,19,17,19
Q6UWF7,45,2,43,33,12,33
Q6ZMZ0,74,0,74,44,30,44
Q7Z7F0,51,4,47,22,33,18
Q7Z7N9,26,2,24,23,3,23
Q86U17,30,0,30,23,7,23
Q86VZ6,30,3,27,21,12,18
Q86WK6,45,2,43,30,15,30
Q86XK3,39,7,32,19,27,12
Q8IYD8,248,21,227,126,143,105
Q8IYW4,86,2,84,60,26,60
Q8N1L1,19,0,19,11,8,11
Q8N5Y8,33,1,32,22,12,21
Q8NA54,52,0,52,34,18,34
Q8NAT2,103,1,102,59,45,58
Q8NBC4,11,0,11,6,5,6
Q8NBI3,19,0,19,10,9,10
Q8NC56,40,9,31,25,22,18
Q8NEB9,76,13,63,41,44,32
Q8NGQ6,20,0,20,17,3,17
Q8TBC5,44,3,41,21,26,18
Q8TCZ2,16,1,15,8,9,7
Q8TD94,37,0,37,24,13,24
Q8WVH0,8,0,8,3,5,3
Q8WXD9,145,28,117,63,106,39
Q92698,71,7,64,38,40,31
Q96AC1,64,18,46,40,24,40
Q96DT6,45,8,37,24,27,18
Q96DY2,25,1,24,13,13,12
Q96NU0,118,0,118,76,42,76
Q96Q11,23,4,19,12,9,14
Q96S55,73,16,57,39,44,29
Q9BQS2,31,1,30,20,12,19
Q9BSH5,11,0,11,9,2,9
Q9BUU2,29,3,26,16,16,13
Q9BYQ7,17,0,17,15,2,15
Q9BYW1,29,0,29,20,9,20
Q9BZI7,34,9,25,16,25,9
Q9C0F1,44,10,34,23,17,27
Q9H173,22,1,21,14,9,13
Q9H257,42,12,30,23,25,17
Q9H511,51,0,51,32,19,32
Q9HCU0,50,1,49,27,24,26
Q9NPH6,5,0,5,1,4,1
Q9NQ40,40,0,40,32,8,32
Q9UBS5,76,3,73,48,31,45
Q9UHR5,34,11,23,18,23,11
Q9UKR8,21,0,21,13,8,13
Q9UP52,64,2,62,42,22,42
Q9Y289,57,3,54,43,17,40
Q9Y2H1,25,3,22,13,15,10
Q9Y3A2,5,1,4,2,4,1
A0A087WV53,12,0,12,8,4,8
A4D1E9,24,3,21,17,10,14
A6NC98,102,15,87,47,70,32
A6NI47,41,0,41,33,8,33
B1AK76,7,0,7,4,3,4
D6RJB6,39,0,39,35,4,35
E9PGG2,28,3,25,19,12,16
O00341,35,0,35,26,9,26
O14511,114,0,114,61,53,61
O14581,30,0,30,24,6,24
O14782,63,7,56,33,33,30
O15211,106,19,87,59,60,46
O75676,66,16,50,34,28,38
O75925,99,20,79,59,48,51
O95376,30,3,27,22,11,19
P04180,22,1,21,11,10,12
P05013,17,0,17,11,6,11
P05451,19,0,19,13,6,13
P0DTE1,15,0,15,12,3,12
P13500,5,0,5,3,2,3
P21128,32,0,32,16,16,16
P26373,18,8,10,9,13,5
P31512,36,1,35,22,15,21
P32745,33,2,31,21,14,19
P37802,13,6,7,6,5,8
P46098,36,2,34,28,10,26
P48163,26,1,25,18,9,17
P49796,132,25,107,65,90,42
P57078,73,9,64,28,54,19
P61296,16,1,15,7,10,6
P63316,5,0,5,3,2,3
P80098,5,0,5,4,1,4
P80217,16,2,14,10,8,8
Q00613,95,26,69,59,56,39
Q01081,25,11,14,13,21,4
Q06124,47,14,33,28,25,22
Q12774,226,42,184,124,138,88
Q14512,18,1,17,13,6,12
Q14940,79,9,70,45,43,36
Q15059,83,16,67,42,47,36
Q15545,34,12,22,17,21,13
Q1HG44,22,0,22,18,4,18
Q5HYJ1,26,1,25,19,8,18
Q5SW24,81,1,80,39,43,38
Q5T753,22,0,22,15,7,15
Q5T890,154,0,154,74,80,74
Q5TCQ9,137,16,121,67,84,53
Q5VYV0,34,0,34,24,10,24
Q68CP9,202,15,187,121,88,114
Q69YG0,15,0,15,14,1,14
Q6DN72,40,0,40,19,21,19
Q6DT37,127,16,111,75,64,63
Q6IWH7,57,2,55,36,21,36
Q6P1J6,104,2,102,55,51,53
Q6P4H8,13,0,13,8,5,8
Q6P9F5,15,0,15,8,7,8
Q6PEX3,33,0,33,29,4,29
Q6PJI9,111,22,89,67,50,61
Q6PK18,25,0,25,15,10,15
Q6UX71,42,4,38,22,22,20
Q70J99,76,4,72,42,34,42
Q7RTV5,15,0,15,7,8,7
Q7Z6I6,131,25,106,73,71,60
Q7Z6L0,28,0,28,12,16,12
Q86SG5,5,0,5,2,3,2
Q86T26,35,0,35,24,11,24
Q8IY33,122,30,92,65,81,41
Q8N1G4,43,8,35,25,18,25
Q8N3F0,8,0,8,4,4,4
Q8N5C6,87,14,73,49,38,49
Q8N6N7,3,0,3,1,2,1
Q8N6S4,39,1,38,24,16,23
Q8NAB2,56,0,56,45,11,45
Q8TF17,116,1,115,66,51,65
Q8WXH6,24,0,24,15,9,15
Q96A47,37,5,32,23,19,18
Q96EV2,101,21,80,59,51,50
Q96KR4,49,0,49,29,20,29
Q96KT7,26,0,26,21,5,21
Q96LI9,20,0,20,12,8,12
Q96PV0,168,25,143,72,115,53
Q96RS6,45,4,41,37,8,37
Q99550,127,0,127,59,68,59
Q99929,23,4,19,5,22,1
Q9BUW7,3,0,3,1,2,1
Q9BYF1,53,5,48,30,28,25
Q9H0Q0,19,1,18,10,10,9
Q9H2F5,99,10,89,56,51,48
Q9NPD7,9,0,9,6,3,6
Q9NSJ1,27,0,27,16,11,16
Q9NUP7,22,1,21,11,12,10
Q9NWS1,51,3,48,33,21,30
Q9NWS6,20,1,19,11,10,10
Q9NZQ9,18,1,17,11,8,10
Q9UK55,27,3,24,17,13,14
Q9UM73,149,11,138,80,60,89
Q9Y2N7,71,3,68,39,35,36
Q9Y305,44,7,37,22,29,15
Q9Y3E1,25,9,16,13,21,4
A0A1W2PQJ5,10,0,10,7,3,7
A0A2R8Y4L2,23,0,23,6,17,6
A6NLI5,41,0,41,28,13,28
K7EIQ3,5,0,5,1,4,1
O00295,38,0,38,21,17,21
O43736,14,0,14,10,4,10
O43812,8,0,8,6,2,6
O60294,54,2,52,36,18,36
O75155,88,4,84,59,33,55
O75251,16,1,15,10,5,11
O75312,26,3,23,14,15,11
O76024,71,8,63,46,31,40
O95990,3,0,3,1,2,1
P01732,18,1,17,13,6,12
P04181,22,1,21,9,14,8
P05062,29,9,20,16,18,11
P08183,99,12,87,60,41,58
P08237,55,13,42,31,29,26
P0C617,28,1,27,24,3,25
P0CJ78,95,6,89,52,49,46
P0DJI8,10,0,10,9,1,9
P23942,29,0,29,18,11,18
P28065,15,1,14,8,8,7
P31314,18,0,18,13,5,13
P31997,33,0,33,24,9,24
P43627,36,0,36,26,10,26
P49756,58,15,43,34,33,25
P51124,21,0,21,13,8,13
P51589,23,0,23,14,9,14
P60606,5,1,4,1,5,0
Q0PNE2,19,2,17,12,9,10
Q0ZGT2,50,17,33,23,34,16
Q14790,44,9,35,25,28,16
Q16778,21,10,11,10,21,0
Q1X8D7,90,2,88,47,45,45
Q3C1V8,18,0,18,8,10,8
Q5RHP9,118,7,111,50,75,43
Q5TGP6,51,0,51,30,21,30
Q6AI14,68,0,68,45,23,45
Q6L8H1,62,0,62,39,23,39
Q6NUI2,61,2,59,39,24,37
Q6R327,230,62,168,130,156,74
Q6TDU7,45,0,45,30,15,30
Q6ZN28,79,16,63,45,44,35
Q6ZU64,162,3,159,99,66,96
Q7RTS9,65,3,62,45,23,42
Q7Z5Q5,77,0,77,49,28,49
Q86UE4,116,46,70,61,61,55
Q8IVJ1,42,3,39,21,22,20
Q8IVW6,60,8,52,34,30,30
Q8N2H3,33,0,33,21,12,21
Q8N4S0,70,16,54,29,49,21
Q8N7C7,20,0,20,14,6,14
Q8N9Y4,32,4,28,14,22,10
Q8NDW4,39,1,38,29,9,30
Q8NGF7,25,0,25,21,4,21
Q8TCG1,75,3,72,48,26,49
Q8TDS4,23,0,23,17,6,17
Q8TE68,83,20,63,36,57,26
Q8TEP8,374,74,300,210,230,144
Q8WYP5,339,94,245,196,159,180
Q93009,66,8,58,38,28,38
Q96A98,4,0,4,2,2,2
Q96CU9,34,1,33,18,17,17
Q96FV3,7,0,7,6,1,6
Q96N77,39,2,37,26,13,26
Q96QV1,46,0,46,33,13,33
Q96SJ8,8,0,8,5,3,5
Q99259,33,1,32,19,13,20
Q99633,11,1,10,3,9,2
Q99986,24,3,21,12,11,13
Q9BQE9,42,13,29,23,26,16
Q9BUH8,86,21,65,44,49,37
Q9BWK5,18,0,18,10,8,10
Q9BXU2,17,0,17,11,6,11
Q9GZN6,69,1,68,54,16,53
Q9H2M3,16,1,15,9,8,8
Q9H2X3,31,0,31,16,15,16
Q9H488,33,4,29,19,18,15
Q9H4I2,101,11,90,62,42,59
Q9HBI1,20,3,17,12,11,9
Q9HBJ7,84,2,82,51,35,49
Q9HBL6,24,1,23,18,7,17
Q9HCC8,27,0,27,23,4,23
Q9HCH0,164,28,136,83,105,59
Q9NSN8,42,1,41,24,19,23
Q9NVA2,31,8,23,19,18,13
Q9NWW5,23,4,19,19,4,19
Q9NX62,22,1,21,9,14,8
Q9NYS7,43,0,43,27,16,27
Q9UGN4,29,3,26,21,11,18
Q9UKJ5,12,0,12,4,8,4
Q9UL68,125,5,120,59,71,54
Q9ULU8,111,9,102,62,58,53
Q9Y219,77,2,75,58,19,58
Q9Y272,27,4,23,13,18,9
Q9Y2I2,33,0,33,21,12,21
Q9Y619,22,0,22,14,8,14
Q9Y651,20,0,20,13,7,13
A0A1B0GTH9,4,0,4,3,1,3
A0A1B0GVM6,3,0,3,0,3,0
A0A804HLA8,5,0,5,3,2,3
A2A3K4,58,3,55,26,35,23
A2RUB6,94,7,87,46,55,39
A6NF34,47,0,47,29,18,29
O00187,51,0,51,37,14,37
O43609,41,5,36,21,25,16
O43660,45,6,39,24,27,18
O43663,70,25,45,39,36,34
O43759,18,0,18,16,2,16
O43900,71,13,58,37,39,32
O43920,1,0,1,1,0,1
O60268,38,4,34,18,24,14
O75386,34,2,32,17,19,15
O94856,100,4,96,59,41,59
O95299,24,1,23,13,12,12
O95340,31,3,28,20,14,17
O95760,24,0,24,21,3,21
P01024,118,13,105,73,48,70
P01597,18,0,18,14,4,14
P02765,29,7,22,15,15,14
P08253,29,2,27,17,14,15
P0C7W0,8,0,8,6,2,6
P10275,95,14,81,56,41,54
P11712,35,4,31,19,20,15
P17027,56,4,52,37,21,35
P20248,27,3,24,17,13,14
P21912,15,1,14,10,6,9
P22079,55,4,51,31,28,27
P24941,15,1,14,10,4,11
P27658,11,2,9,8,5,6
P27987,133,31,102,59,89,44
P28799,44,1,43,35,10,34
P47914,10,4,6,4,6,4
P54278,99,17,82,52,62,37
P56706,17,1,16,11,7,10
P61224,10,2,8,7,5,5
P78504,86,1,85,65,22,64
P78549,26,8,18,14,18,8
P80370,23,1,22,17,7,16
Q05048,38,0,38,27,11,27
Q07002,50,13,37,28,35,15
Q13177,52,20,32,28,26,26
Q13308,77,4,73,41,40,37
Q13490,73,12,61,39,28,45
Q13555,54,17,37,29,26,28
Q14257,14,1,13,8,7,7
Q14451,60,12,48,30,32,28
Q2M2E5,8,1,7,6,3,5
Q5TGY3,220,46,174,120,136,84
Q66K41,39,0,39,25,14,25
Q6IN85,81,23,58,46,48,33
Q6P1K8,31,1,30,19,13,18
Q6PI77,40,0,40,23,17,23
Q7L4I2,85,25,60,46,58,27
Q7L5N7,35,4,31,21,18,17
Q7RTY7,108,0,108,66,42,66
Q7Z418,22,0,22,15,7,15
Q7Z5A4,19,0,19,7,12,7
Q86UP2,124,29,95,60,67,57
Q86UW6,213,20,193,123,106,107
Q86Y25,38,0,38,25,13,25
Q86YD3,29,2,27,16,15,14
Q8IXT1,139,10,129,84,65,74
Q8IZP9,110,2,108,69,41,69
Q8N609,27,0,27,22,5,22
Q8N8Z6,81,11,70,49,43,38
Q8NAV1,48,19,29,25,32,16
Q8NB12,21,0,21,14,7,14
Q8NCC5,54,0,54,40,14,40
Q8NEP9,53,1,52,28,26,27
Q8NF67,14,0,14,5,9,5
Q8NH79,19,0,19,16,3,16
Q8NHC5,30,0,30,25,5,25
Q8NI29,13,0,13,10,3,10
Q8TB22,60,0,60,38,22,38
Q8WVT3,69,10,59,38,35,34
Q8WX77,16,0,16,7,9,7
Q96HJ3,36,5,31,17,24,12
Q96HR3,4,0,4,1,3,1
Q96MU6,55,1,54,31,25,30
Q96NM4,75,2,73,45,32,43
Q96TA2,59,2,57,30,31,28
Q99685,20,0,20,14,6,14
Q9BXJ7,31,1,30,16,16,15
Q9H0F5,47,4,43,31,20,27
Q9H6I2,24,0,24,9,15,9
Q9H714,83,6,77,49,36,47
Q9HC96,43,0,43,27,16,27
Q9NTN9,71,4,67,43,32,39
Q9NXN4,42,6,36,24,20,22
Q9NYL5,23,0,23,13,10,13
Q9NZU1,43,1,42,32,12,31
Q9UEW3,32,0,32,19,13,19
Q9UGK3,24,1,23,15,10,14
Q9UGM6,30,3,27,20,11,19
Q9Y2I1,127,8,119,82,53,74
Q9Y3E0,2,0,2,1,1,1
Q9Y586,26,1,25,14,13,13
A0A075B6R9,16,0,16,10,6,10
A0A1B0GTI1,24,0,24,10,14,10
A0A1B0GX78,3,0,3,1,2,1
A0A578,11,0,11,4,7,4
A6NJQ4,44,0,44,34,10,34
B7Z6K7,93,3,90,59,37,56
B9EJG8,18,1,17,13,6,12
C9J2P7,42,0,42,35,7,35
C9J3V5,11,0,11,8,3,8
C9JG80,105,0,105,44,61,44
O15126,25,4,21,20,5,20
O43395,49,14,35,25,26,23
O43824,30,2,28,18,14,16
O95059,9,0,9,3,6,3
O95544,47,7,40,27,25,22
O95834,57,4,53,41,20,37
O95841,29,1,28,18,12,17
P01111,11,1,10,5,7,4
P05787,109,54,55,55,72,37
P0CL85,6,0,6,5,1,5
P10147,9,0,9,9,0,9
P15514,27,0,27,14,13,14
P20591,44,5,39,27,20,24
P24588,56,12,44,31,31,25
P26718,24,2,22,16,10,14
P27216,18,1,17,6,13,5
P27482,7,2,5,3,6,1
P27708,164,21,143,92,71,93
P42229,53,8,45,35,20,33
P43034,41,5,36,21,25,16
P54753,89,6,83,49,38,51
Q00872,67,9,58,39,35,32
Q02108,59,6,53,38,27,32
Q08AE8,98,22,76,50,68,30
Q0VAA2,35,1,34,20,16,19
Q13232,9,3,6,5,7,2
Q13393,87,14,73,49,50,37
Q14106,49,8,41,31,26,23
Q15078,35,1,34,17,19,16
Q15772,370,59,311,181,246,124
Q15785,38,12,26,19,21,17
Q15797,52,10,42,30,28,24
Q2M3G0,90,0,90,57,33,57
Q2PZI1,41,0,41,27,14,27
Q2TBA0,38,2,36,27,11,27
Q3SXY7,88,0,88,56,32,56
Q59GN2,1,0,1,1,0,1
Q5JTZ9,63,6,57,31,38,25
Q5JUW0,13,0,13,4,9,4
Q6DKI2,29,0,29,24,5,24
Q6QHK4,21,0,21,7,14,7
Q6UWN0,26,0,26,20,6,20
Q6ZMV7,7,0,7,2,5,2
Q6ZNR0,14,0,14,3,11,3
Q7Z4B0,10,0,10,8,2,8
Q7Z7H5,9,0,9,2,7,2
Q86SF2,39,2,37,25,16,23
Q86SG2,8,0,8,2,6,2
Q86UN3,36,0,36,26,10,26
Q86V71,49,0,49,33,16,33
Q86XS8,24,1,23,15,10,14
Q8IUB2,8,0,8,7,1,7
Q8IUF1,21,1,20,10,12,9
Q8IZY2,152,6,146,89,69,83
Q8N434,40,0,40,30,10,30
Q8N6D5,13,1,12,10,4,9
Q8N7M0,19,0,19,12,7,12
Q8NB91,80,3,77,51,32,48
Q8NCE2,95,19,76,52,42,53
Q8NEQ5,18,3,15,8,13,5
Q8NFT6,68,0,68,35,33,35
Q8NGM8,21,0,21,20,1,20
Q8NH07,26,0,26,24,2,24
Q8NH74,25,0,25,17,8,17
Q8TD10,25,1,24,14,12,13
Q8WVS4,110,9,101,67,42,68
Q96B42,8,0,8,5,3,5
Q96I82,15,0,15,8,7,8
Q96MH7,68,0,68,46,22,46
Q96P09,11,1,10,1,9,2
Q9BTN0,41,1,40,25,17,24
Q9C0A6,241,43,198,124,134,107
Q9GZM8,42,11,31,20,27,15
Q9H2S5,25,0,25,14,11,14
Q9H6A0,32,1,31,22,11,21
Q9H8N7,70,11,59,43,32,38
Q9NYW4,28,0,28,26,2,26
Q9P032,15,3,12,8,6,9
Q9P0J6,5,0,5,1,4,1
Q9P217,91,1,90,54,38,53
Q9P242,124,31,93,56,73,51
Q9UBJ2,50,3,47,27,26,24
Q9UI47,68,6,62,37,33,35
Q9UJX3,54,9,45,28,27,27
Q9UKI3,9,0,9,4,5,4
Q9Y226,30,0,30,18,12,18
Q9Y5F8,90,4,86,52,40,50
Q9Y5X5,39,1,38,26,14,25
Q9Y615,29,2,27,16,15,14
A0A075B6U6,13,0,13,8,5,8
A0A0G2JPN4,4,0,4,3,1,3
A0A1B0GX31,8,0,8,4,4,4
A0A494C0I6,3,0,3,2,1,2
A6NHC0,46,0,46,33,13,33
A6NKU9,32,0,32,8,24,8
A8MW99,47,0,47,27,20,27
A8MYU2,117,1,116,83,35,82
B5MCY1,164,0,164,106,58,106
G5E9R7,40,0,40,30,10,30
O00327,70,6,64,37,37,33
O14494,24,1,23,17,8,16
O14977,33,0,33,22,11,22
O15355,52,12,40,27,21,31
O60383,51,1,50,25,27,24
O60397,4,0,4,3,1,3
O75689,18,1,17,13,6,12
O95232,58,12,46,31,29,29
O95237,16,0,16,9,7,9
P05165,57,4,53,32,29,28
P06744,48,19,29,30,23,25
P0C8F1,6,0,6,5,1,5
P0DSN6,27,0,27,22,5,22
P13805,11,1,10,7,5,6
P13984,17,2,15,13,6,11
P15311,32,14,18,16,18,14
P35244,5,1,4,4,2,3
P41143,26,1,25,16,11,15
P41217,21,0,21,15,6,15
P41222,19,1,18,13,7,12
P42892,64,6,58,35,29,35
P48594,27,2,25,17,12,15
P49286,22,0,22,16,6,16
P49903,13,2,11,9,6,7
P59537,24,0,24,16,8,16
P60604,11,0,11,8,3,8
Q01085,36,10,26,24,20,16
Q13111,108,35,73,54,87,21
Q13291,27,1,26,18,10,17
Q13398,69,2,67,51,18,51
Q14112,102,4,98,63,43,59
Q14416,66,2,64,41,27,39
Q14449,52,5,47,29,26,26
Q14CX5,41,1,40,36,6,35
Q15007,61,17,44,32,32,29
Q15428,24,4,20,14,12,12
Q17RF5,3,0,3,0,3,0
Q17RY6,6,0,6,2,4,2
Q2PPJ7,192,32,160,121,99,93
Q53RE8,16,3,13,9,10,6
Q5H913,23,0,23,12,11,12
Q5TF58,30,1,29,14,17,13
Q6P3R8,45,0,45,26,19,26
Q6PKX4,30,3,27,19,12,18
Q6RVD6,9,0,9,6,3,6
Q6TDP4,57,0,57,29,28,29
Q86UK7,79,9,70,46,34,45
Q86XP3,94,17,77,51,48,46
Q86YC3,61,0,61,33,28,33
Q8IYJ0,22,0,22,14,8,14
Q8N427,34,0,34,23,11,23
Q8N695,46,1,45,32,15,31
Q8N7G0,21,1,20,11,11,10
Q8NDA2,372,0,372,232,140,232
Q8NGT0,27,0,27,24,3,24
Q8TAP8,23,6,17,14,11,12
Q8TCJ0,25,0,25,21,4,21
Q8WUQ7,76,20,56,35,51,25
Q8WUU4,42,5,37,23,24,18
Q92785,44,13,31,25,24,20
Q969G6,9,0,9,6,3,6
Q96DR4,12,0,12,7,5,7
Q96GC9,24,0,24,20,4,20
Q96GX5,128,35,93,75,54,74
Q96HF1,14,0,14,12,2,12
Q96QB1,217,38,179,115,128,89
Q96SU4,88,18,70,45,59,29
Q9BQ15,21,2,19,8,13,8
Q9BQF6,150,15,135,90,73,77
Q9BR26,35,0,35,20,15,20
Q9BX73,12,0,12,9,3,9
Q9BYG4,24,0,24,15,9,15
Q9H0F7,15,1,14,9,7,8
Q9H9K5,52,0,52,41,11,41
Q9HBH5,21,1,20,11,11,10
Q9NZR2,318,1,317,222,97,221
Q9UBX0,17,1,16,10,8,9
Q9UDY2,182,75,107,94,125,57
Q9UGC7,20,1,19,10,9,11
Q9UIF9,220,29,191,125,116,104
Q9UKP5,91,0,91,62,29,62
Q9UMX3,11,0,11,6,5,6
Q9UQE7,95,23,72,49,63,32
Q9UQR0,100,23,77,56,51,49
Q9Y3C4,14,3,11,8,7,7
Q9Y3L3,88,21,67,43,66,22
Q9Y4B4,153,22,131,94,79,74
Q9Y5F7,95,2,93,60,35,60
Q9Y6Q2,83,2,81,48,35,48
A0A1W2PR80,53,0,53,30,23,30
A2CJ06,52,0,52,34,18,34
A6NGH8,25,0,25,19,6,19
O43583,9,3,6,5,7,2
O43707,69,25,44,30,42,27
O60281,274,11,263,167,110,164
O60941,60,11,49,31,34,26
O95050,14,0,14,7,7,7
O95263,78,7,71,44,37,41
O95294,50,1,49,26,23,27
P01009,29,7,22,18,14,15
P01780,12,0,12,8,4,8
P02686,51,20,31,25,32,19
P07919,6,2,4,2,6,0
P0CB48,33,1,32,15,19,14
P0DPK3,11,0,11,10,1,10
P14902,26,0,26,17,9,17
P15531,11,5,6,6,6,5
P17752,32,1,31,16,17,15
P19075,16,0,16,10,6,10
P20962,4,2,2,2,4,0
P24844,9,4,5,5,6,3
P28068,18,0,18,12,6,12
P30740,32,5,27,18,19,13
P33552,4,1,3,2,3,1
P40126,28,0,28,23,5,23
P40189,99,14,85,62,41,58
P40306,16,2,14,8,10,6
P42081,31,0,31,21,10,21
P46934,152,9,143,86,73,79
P48060,20,0,20,17,3,17
P49459,14,2,12,7,9,5
P55072,71,33,38,35,61,10
P55822,13,0,13,5,8,5
P83859,8,0,8,5,3,5
Q13474,93,1,92,47,47,46
Q13516,45,1,44,30,16,29
Q14123,71,4,67,33,42,29
Q14166,36,8,28,24,10,26
Q14CB8,43,8,35,26,25,18
Q15726,13,0,13,5,8,5
Q16363,161,2,159,96,67,94
Q5JRK9,10,4,6,5,7,3
Q5TEU4,21,2,19,8,15,6
Q5TZ20,20,0,20,18,2,18
Q5VVH5,22,0,22,14,8,14
Q5VVX9,19,0,19,14,5,14
Q5VWI1,44,1,43,25,20,24
Q5VXT5,20,0,20,11,9,11
Q658T7,39,0,39,26,13,26
Q6P2D8,61,2,59,32,29,32
Q6UE05,20,0,20,18,2,18
Q6ZMN7,88,6,82,45,49,39
Q6ZMY6,51,1,50,26,26,25
Q7Z3S7,81,0,81,54,27,54
Q7Z7G0,102,8,94,52,58,44
Q86X45,28,0,28,17,11,17
Q8IUB9,8,0,8,6,2,6
Q8IY63,120,32,88,65,59,61
Q8IZC6,108,3,105,61,50,58
Q8N535,8,0,8,4,4,4
Q8N7A1,22,1,21,14,9,13
Q8NA42,36,0,36,28,8,28
Q8NCS7,31,0,31,23,8,23
Q8NCU4,53,4,49,30,25,28
Q8NE31,59,3,56,28,32,27
Q8NGM1,22,0,22,18,4,18
Q8NH00,27,0,27,23,4,23
Q8WXQ8,39,0,39,27,12,27
Q8WZ26,10,0,10,4,6,4
Q92890,28,9,19,16,13,15
Q969R8,27,2,25,13,16,11
Q96AM1,21,0,21,20,1,20
Q96FT7,38,2,36,25,15,23
Q96NN9,38,4,34,20,20,18
Q96PD4,14,0,14,8,6,8
Q96Q27,41,0,41,22,19,22
Q96ST3,111,20,91,74,39,72
Q9BQI7,74,5,69,33,44,30
Q9BT40,44,0,44,36,8,36
Q9BTV5,36,4,32,21,19,17
Q9BUE0,12,1,11,9,2,10
Q9BYE2,68,0,68,26,42,26
Q9C0B6,62,0,62,38,24,38
Q9H079,32,5,27,19,16,16
Q9H773,15,6,9,8,13,2
Q9NPA1,16,0,16,11,5,11
Q9NPB9,20,1,19,14,7,13
Q9NQ55,38,9,29,18,21,17
Q9NYP8,20,0,20,13,7,13
Q9NZJ5,126,18,108,65,59,67
Q9NZM3,159,18,141,99,62,97
Q9UKP3,26,0,26,17,9,17
Q9UKR0,20,0,20,18,2,18
Q9UPU9,94,16,78,50,56,38
Q9Y215,26,0,26,18,8,18
Q9Y2Z0,37,9,28,17,27,10
Q9Y5G0,88,2,86,52,38,50
A0A075B6J6,11,0,11,6,5,6
A0A0C4DH26,13,0,13,8,5,8
A0A1B0GVG4,12,0,12,4,8,4
A0A8V8TII8,2,0,2,2,0,2
A6NDI0,31,0,31,25,6,25
A6NMN3,30,0,30,9,21,9
A6PVS8,35,2,33,24,13,22
A8MT33,12,0,12,5,7,5
O14649,33,2,31,22,13,20
O15068,110,14,96,57,61,49
O15217,8,1,7,5,4,4
O15525,10,1,9,6,5,5
O43312,117,19,98,62,60,57
O43414,22,1,21,13,10,12
O75529,65,1,64,46,20,45
O75747,132,3,129,93,42,90
O94991,86,6,80,54,32,54
O95394,36,3,33,21,16,20
O95782,80,13,67,48,35,45
O95819,168,64,104,88,98,70
P0C7H9,43,0,43,30,13,30
P10620,9,1,8,6,4,5
P12643,35,0,35,25,10,25
P17927,179,1,178,117,63,116
P21980,51,11,40,33,17,34
P29459,16,0,16,11,5,11
P30307,60,19,41,39,32,28
P31270,39,2,37,23,18,21
P42677,8,3,5,5,4,4
P46063,56,9,47,29,34,22
P48551,61,6,55,40,23,38
P49591,32,3,29,16,17,15
P49901,5,0,5,3,2,3
P50895,62,6,56,35,33,29
P54750,41,2,39,25,18,23
P56557,9,0,9,7,2,7
P56703,25,1,24,15,11,14
P58513,7,0,7,5,2,5
P62854,7,2,5,4,5,2
P63121,8,0,8,6,2,6
P78362,60,13,47,35,38,22
Q02161,35,0,35,30,5,30
Q08752,19,4,15,9,6,13
Q0VD83,79,7,72,36,50,29
Q12797,56,13,43,33,18,38
Q13434,43,0,43,24,19,24
Q13461,14,0,14,8,6,8
Q15543,4,1,3,2,3,1
Q5SZD1,16,1,15,10,7,9
Q5T749,65,2,63,38,27,38
Q5TYM5,10,0,10,8,2,8
Q5TZF3,14,2,12,6,10,4
Q68DC2,94,10,84,43,53,41
Q6PI78,12,0,12,9,3,9
Q6UXN7,1,0,1,0,1,0
Q6UXS9,25,0,25,13,12,13
Q6UXY8,112,16,96,65,59,53
Q6X784,21,0,21,16,5,16
Q7Z402,66,0,66,35,31,35
Q86Y22,17,0,17,9,8,9
Q86YW9,201,4,197,122,83,118
Q8IWD4,24,3,21,14,13,11
Q8IXS0,53,1,52,29,25,28
Q8IZH2,162,20,142,92,74,88
Q8IZL9,13,0,13,10,3,10
Q8N4C6,166,19,147,83,90,76
Q8NB16,40,10,30,21,23,17
Q8NC67,44,2,42,22,24,20
Q8NGG3,30,0,30,23,7,23
Q8WTZ4,12,0,12,8,4,8
Q8WY21,104,1,103,63,42,62
Q8WZ79,30,0,30,24,6,24
Q92636,87,3,84,59,31,56
Q92874,23,0,23,17,6,17
Q96AB3,14,1,13,10,5,9
Q96B97,100,34,66,52,58,42
Q96LW1,67,1,66,44,24,43
Q96LW9,32,4,28,17,17,15
Q96NL0,56,3,53,27,32,24
Q96PT4,10,0,10,7,3,7
Q99445,8,0,8,7,1,7
Q99811,30,3,27,14,19,11
Q99829,44,5,39,31,18,26
Q9BRR9,88,18,70,45,57,31
Q9BXJ8,16,0,16,13,3,13
Q9BXT8,115,0,115,72,43,72
Q9BYQ9,26,0,26,25,1,25
Q9BZP6,30,0,30,12,18,12
Q9BZR6,30,0,30,20,10,20
Q9H1C7,1,0,1,0,1,0
Q9H2P9,15,2,13,10,7,8
Q9NP73,107,4,103,69,42,65
Q9NPJ6,18,1,17,9,10,8
Q9NR71,64,0,64,43,21,43
Q9NZL4,22,2,20,8,14,8
Q9UBY8,16,0,16,14,2,14
Q9UL15,22,1,21,15,8,14
Q9UNP4,22,0,22,14,8,14
Q9Y2R9,9,0,9,2,7,2
